Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/dashboard/,HTTPError('429 Client Error: Too Many Requests for url: /api/dashboard/'),26,2026-09-07T21:22:04Z,2026-09-07T21:24:24Z
GET,/api/courses/,HTTPError('429 Client Error: Too Many Requests for url: /api/courses/'),36,2026-09-07T21:22:06Z,2026-09-07T21:24:25Z
GET,/auth/admin/users/,HTTPError('429 Client Error: Too Many Requests for url: /auth/admin/users/'),2,2026-09-07T21:23:05Z,2026-09-07T21:23:29Z
GET,/api/enrollments/,HTTPError('401 Client Error: Unauthorized for url: /api/enrollments/'),37,2026-09-07T21:21:27Z,2026-09-07T21:24:06Z
GET,/api/sections/?course=10,HTTPError('429 Client Error: Too Many Requests for url: /api/sections/?course=10'),27,2026-09-07T21:22:08Z,2026-09-07T21:24:18Z
GET,/auth/csrf/,HTTPError('429 Client Error: Too Many Requests for url: /auth/csrf/'),9,2026-09-07T21:21:29Z,2026-09-07T21:21:30Z
POST,/auth/login/,HTTPError('429 Client Error: Too Many Requests for url: /auth/login/'),4,2026-09-07T21:21:27Z,2026-09-07T21:21:28Z
GET,/auth/admin/users/,HTTPError('401 Client Error: Unauthorized for url: /auth/admin/users/'),49,2026-09-07T21:21:28Z,2026-09-07T21:24:25Z
GET,/api/dashboard/,HTTPError('401 Client Error: Unauthorized for url: /api/dashboard/'),152,2026-09-07T21:21:28Z,2026-09-07T21:24:25Z
GET,/api/courses/,HTTPError('401 Client Error: Unauthorized for url: /api/courses/'),140,2026-09-07T21:21:27Z,2026-09-07T21:24:19Z
