Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/courses/,336,176,4,5.863129463077279,1.6651999903842807,26.82460000505671,522.2857142857143,1.879325961388629,0.9844088369178533,4,8,9,9,10,11,13,22,27,27,27
GET,/api/courses/10/,58,0,7,7.428162069870801,6.47459999890998,10.374899953603745,423.0,0.3244074576206562,0.0,7,8,8,8,8,9,10,10,10,10,10
POST,/api/courses/10/enroll/,9,0,8,8.043677785382089,6.196599977556616,11.957800015807152,55.0,0.05033908825148114,0.0,8,8,8,9,12,12,12,12,12,12,12
GET,/api/dashboard/,337,178,4,12.709637984145676,1.458899991121143,73.97929998114705,2653.112759643917,1.8849191934165714,0.995595300973738,4,9,13,26,41,43,45,46,74,74,74
GET,/api/enrollments/,72,37,4,5.684943051568957,1.8948999932035804,12.042900023516268,430.09722222222223,0.4027127060118491,0.2069495850338669,8,8,9,9,9,10,12,12,12,12,12
GET,/api/sections/?course=10,64,27,7,6.3477156254521105,3.098500019405037,10.67660003900528,686.3125,0.35796684978831034,0.1510172647544434,8,8,8,9,9,10,10,11,11,11,11
GET,/auth/admin/users/,98,51,4,7.325343880327228,1.5374000067822635,18.84630002314225,1223.0408163265306,0.5481367387383501,0.2852548334250598,4,12,12,12,13,15,16,19,19,19,19
GET,/auth/csrf/,18,9,10,10.855027771968809,3.893099958077073,19.201099989004433,58.5,0.10067817650296228,0.05033908825148114,11,12,15,18,18,19,19,19,19,19,19
POST,/auth/login/,9,4,310,211.3581888908003,2.424500009510666,485.3171999566257,605.2222222222222,0.05033908825148114,0.022372928111769396,310,310,390,390,490,490,490,490,490,490,490
,Aggregated,1001,482,7,10.37707652377484,1.458899991121143,485.3171999566257,1294.5704295704295,5.598825259970291,2.695937837468212,7,8,9,10,14,41,43,45,390,490,490
